parent,child,premise,conclusion,label
electronic device,food processor,electronic devices are daxable,food processors are daxable,yes
accessory,suspenders,accessories are daxable,suspenders are daxable,yes
food,potpie,food is daxable,potpies are daxable,yes
musical instrument,gyro,musical instruments are daxable,gyros are daxable,no
outerwear,ready meal,outerwear is daxable,ready meals are daxable,no
tool,bucket,tools are daxable,buckets are daxable,no
candy,berry,candy is daxable,berries are daxable,no
headwear,face mask,headwear is daxable,face masks are daxable,no
dessert,screwdriver,desserts are daxable,screwdrivers are daxable,no
bird,penguin,birds are daxable,penguins are daxable,yes
electronic device,drill,electronic devices are daxable,drills are daxable,yes
protective clothing,raincoat,protective clothing is daxable,raincoats are daxable,yes
tool,tool,tools are daxable,tools are daxable,yes
women's clothing,stiletto,women's clothes are daxable,stilettoes are daxable,yes
food,snail,food is daxable,snails are daxable,no
food,clove,food is daxable,cloves are daxable,yes
breakfast,muffin,breakfasts are daxable,muffins are daxable,yes
drink,coffee,drinks are daxable,coffee is daxable,yes
breakfast,oatmeal,breakfasts are daxable,oatmeal is daxable,yes
game,shuffleboard,games are daxable,shuffleboards are daxable,yes
weapon,berry,weapons are daxable,berries are daxable,no
food,pine tree,food is daxable,pine trees are daxable,no
furniture,bok choy,furniture is daxable,bok choys are daxable,no
tool,sorbet,tools are daxable,sorbets are daxable,no
vegetable,hummus,vegetables are daxable,hummus is daxable,no
dessert,wafer,desserts are daxable,wafers are daxable,no
bird,peacock,birds are daxable,peacocks are daxable,yes
animal,watch,animals are daxable,watches are daxable,no
weapon,chainsaw,weapons are daxable,chainsaws are daxable,yes
mammal,rhinoceros,mammals are daxable,rhinos are daxable,yes
insect,moth,insects are daxable,moths are daxable,yes
seafood,clam,seafood is daxable,clams are daxable,yes
food,cinnamon,food is daxable,cinnamon is daxable,yes
vehicle,rice,vehicles are daxable,rice is daxable,no
weapon,lemon,weapons are daxable,lemons are daxable,no
plant,corn,plants are daxable,corn is daxable,yes
animal,license plate,animals are daxable,license plates are daxable,no
food,sundae,food is daxable,sundaes are daxable,yes
school supply,goat,school supplies are daxable,goats are daxable,no
container,ballot box,containers are daxable,ballot boxes are daxable,yes
food,peach,food is daxable,peaches are daxable,yes
tool,berry,tools are daxable,berries are daxable,no
clothing,top hat,clothing is daxable,top hats are daxable,yes
outerwear,overalls,outerwear is daxable,overalls are daxable,yes
medical equipment,needle,medical equipment is daxable,needles are daxable,no
food,bell pepper,food is daxable,bell peppers are daxable,yes
food,lemon,food is daxable,lemons are daxable,yes
vehicle,berry,vehicles are daxable,berries are daxable,no
electronic device,generator,electronic devices are daxable,generators are daxable,yes
plant,wheat,plants are daxable,wheat is daxable,no
vehicle,tractor,vehicles are daxable,tractors are daxable,yes
tool,knife,tools are daxable,knives are daxable,yes
outerwear,glove,outerwear is daxable,gloves are daxable,yes
fastener,buckle,fasteners are daxable,buckles are daxable,yes
clothing,slipper,clothing is daxable,slippers are daxable,yes
animal,boar,animals are daxable,boars are daxable,yes
garden tool,watering can,garden tools are daxable,watering cans are daxable,yes
animal,birdhouse,animals are daxable,birdhouses are daxable,no
outerwear,dumpling,outerwear is daxable,dumplings are daxable,no
seafood,fish,seafood is daxable,fish are daxable,yes
food,basket,food is daxable,baskets are daxable,no
condiment,jeans,condiments are daxable,jeans are daxable,no
animal,mouse,animals are daxable,mice are daxable,yes
clothing,walnut,clothing is daxable,walnuts are daxable,no
auto part,seatbelt,auto parts are daxable,seatbelts are daxable,yes
food,brussels sprouts,food is daxable,brussels sprouts are daxable,yes
plant,chisel,plants are daxable,chisels are daxable,no
plant,iceskate,plants are daxable,iceskates are daxable,no
game,thumbtack,games are daxable,thumbtacks are daxable,no
mammal,fox,mammals are daxable,foxes are daxable,yes
clothing,robe,clothing is daxable,robes are daxable,yes
container,pocket,containers are daxable,pockets are daxable,yes
fruit,bell pepper,fruits are daxable,bell peppers are daxable,no
food,champagne,food is daxable,champagne is daxable,no
protective clothing,visor,protective clothing is daxable,visors are daxable,yes
clothing,chocolate,clothing is daxable,chocolates are daxable,no
mammal,iguana,mammals are daxable,iguanas are daxable,no
furniture,filing cabinet,furniture is daxable,filing cabinets are daxable,yes
fastener,clothespin,fasteners are daxable,clothespins are daxable,yes
home decor,jukebox,home decor is daxable,jukeboxes are daxable,no
clothing,bow,clothing is daxable,a bow is daxable,yes
office supply,guinea pig,office supplies are daxable,guinea pigs are daxable,no
vehicle,missile,vehicles are daxable,missiles are daxable,no
animal,fern,animals are daxable,ferns are daxable,no
toy,pogo stick,toys are daxable,pogo sticks are daxable,yes
drink,punch,drinks are daxable,fruit punches are daxable,yes
clothing,uniform,clothing is daxable,uniforms are daxable,yes
tool,cable,tools are daxable,cables are daxable,yes
animal,mint,animals are daxable,mint is daxable,no
vehicle,wagon,vehicles are daxable,wagons are daxable,yes
musical instrument,jalapeno,musical instruments are daxable,jalapenoes are daxable,no
animal,pony,animals are daxable,ponies are daxable,yes
kitchen equipment,dragonfly,kitchen equipment is daxable,dragonflies are daxable,no
animal,incubator,animals are daxable,incubators are daxable,no
animal,piggy bank,animals are daxable,piggy banks are daxable,no
weapon,mustard,weapons are daxable,mustard is daxable,no
food,tulip,food is daxable,tulips are daxable,no
vehicle,engine,vehicles are daxable,engines are daxable,no
vehicle,helicopter,vehicles are daxable,helicopters are daxable,yes
food,boat,food is daxable,boats are daxable,no
clothing,eye patch,clothing is daxable,eye patches are daxable,yes
animal,knob,animals are daxable,knobs are daxable,no
food,banana,food is daxable,bananas are daxable,yes
weapon,pickax,weapons are daxable,pickaxes are daxable,yes
tool,engine,tools are daxable,engines are daxable,no
vehicle,cruise ship,vehicles are daxable,cruise ships are daxable,yes
food,birdcage,food is daxable,birdcages are daxable,no
insect,slug,insects are daxable,slugs are daxable,no
tool,peacock,tools are daxable,peacocks are daxable,no
sea animal,toad,sea animals are daxable,toads are daxable,no
container,briefcase,containers are daxable,briefcases are daxable,yes
food,ginger,food is daxable,ginger is daxable,yes
animal,warthog,animals are daxable,warthogs are daxable,yes
plant,poinsettia,plants are daxable,poinsettias are daxable,yes
tool,drill,tools are daxable,drills are daxable,yes
animal,skunk,animals are daxable,skunks are daxable,yes
vehicle,banana split,vehicles are daxable,banana splits are daxable,no
auto part,hearse,auto parts are daxable,hearses are daxable,no
plant,scallion,plants are daxable,scallions are daxable,no
drink,wine,drinks are daxable,wines are daxable,yes
animal,bug,animals are daxable,bugs are daxable,yes
vehicle,license plate,vehicles are daxable,license plates are daxable,no
plant,copier,plants are daxable,copiers are daxable,no
animal,fox,animals are daxable,foxes are daxable,yes
food,pocket,food is daxable,pockets are daxable,no
toy,squirt gun,toys are daxable,squirt guns are daxable,yes
container,can,containers are daxable,cans are daxable,yes
tool,ladle,tools are daxable,ladles are daxable,yes
kitchen equipment,pan,kitchen equipment is daxable,pans are daxable,no
mammal,giraffe,mammals are daxable,giraffes are daxable,yes
bird,bee,birds are daxable,bees are daxable,no
clothing,bowler hat,clothing is daxable,bowler hats are daxable,yes
container,coffee,containers are daxable,coffee is daxable,no
toy,rattle,toys are daxable,rattles are daxable,yes
breakfast,toast,breakfasts are daxable,toast is daxable,yes
tool,axe,tools are daxable,axes are daxable,yes
auto part,airbag,auto parts are daxable,airbags are daxable,yes
tool,abacus,tools are daxable,abacuses are daxable,no
breakfast,scooter,breakfasts are daxable,scooters are daxable,no
food,candy cane,food is daxable,candy canes are daxable,yes
clothing,tent,clothing is daxable,tents are daxable,no
kitchen tool,chipmunk,kitchen tools are daxable,chipmunks are daxable,no
food,magnifying glass,food is daxable,magnifying glasses are daxable,no
animal,badger,animals are daxable,badgers are daxable,yes
clothing,pita,clothing is daxable,pita is daxable,no
dessert,grenade,desserts are daxable,grenades are daxable,no
container,raccoon,containers are daxable,raccoons are daxable,no
food,chickpea,food is daxable,chickpeas are daxable,yes
office supply,ruler,office supplies are daxable,rulers are daxable,no
footwear,stockings,footwear is daxable,stockings are daxable,yes
animal,projector,animals are daxable,projectors are daxable,no
food,waffle,food is daxable,waffles are daxable,yes
musical instrument,organ,musical instruments are daxable,organs are daxable,yes
animal,calf,animals are daxable,calves are daxable,yes
food,ice-cream cone,food is daxable,ice-cream cones are daxable,yes
mammal,zipper,mammals are daxable,zippers are daxable,no
weapon,shears,weapons are daxable,shears are daxable,no
school supply,ticktacktoe,school supplies are daxable,tick-tack-toe is daxable,no
food,sausage,food is daxable,sausages are daxable,yes
food,candy,food is daxable,candy is daxable,yes
electronic device,artichoke,electronic devices are daxable,artichokes are daxable,no
kitchen equipment,crow,kitchen equipment is daxable,crows are daxable,no
food,bookshelf,food is daxable,bookshelves are daxable,no
women's clothing,lingerie,women's clothes are daxable,lingerie is daxable,yes
toiletry,brush,toiletries are daxable,brushes are daxable,no
tool,crepe,tools are daxable,crepes are daxable,no
food,enchilada,food is daxable,enchiladas are daxable,yes
food,rabbit,food is daxable,rabbits are daxable,yes
tool,sledgehammer,tools are daxable,sledgehammers are daxable,yes
fastener,rubber band,fasteners are daxable,rubber bands are daxable,yes
office supply,stapler,office supplies are daxable,staplers are daxable,yes
clothing,stuffing,clothing is daxable,stuffing is daxable,no
container,crayfish,containers are daxable,crayfish are daxable,no
toy,stamp,toys are daxable,stamps are daxable,no
medical equipment,hot-water bottle,medical equipment is daxable,hot-water bottles are daxable,no
sea animal,pelican,sea animals are daxable,pelicans are daxable,no
school supply,ink,school supplies are daxable,ink is daxable,yes
animal,rack,animals are daxable,racks are daxable,no
vehicle,tricycle,vehicles are daxable,tricycles are daxable,yes
vegetable,stir fry,vegetables are daxable,a stir fry is daxable,no
electronic device,scanner,electronic devices are daxable,scanners are daxable,yes
livestock,bull,livestocks are daxable,bulls are daxable,yes
food,kettle,food is daxable,kettles are daxable,no
electronic device,cymbal,electronic devices are daxable,cymbals are daxable,no
toiletry,marker,toiletries are daxable,markers are daxable,no
home decor,stained glass,home decor is daxable,stained glass is daxable,yes
food,gumdrop,food is daxable,gumdrops are daxable,yes
animal,bison,animals are daxable,bisons are daxable,yes
home decor,sloth,home decor is daxable,sloths are daxable,no
mammal,squirrel,mammals are daxable,squirrels are daxable,yes
animal,tiger,animals are daxable,tigers are daxable,yes
sea animal,swordfish,sea animals are daxable,swordfish are daxable,yes
food,fur coat,food is daxable,fur coats are daxable,no
electronic device,dryer,electronic devices are daxable,dryers are daxable,yes
breakfast,cereal,breakfasts are daxable,cereals are daxable,yes
furniture,sawhorse,furniture is daxable,sawhorses are daxable,no
animal,weather vane,animals are daxable,weather vanes are daxable,no
vehicle,potato,vehicles are daxable,potatoes are daxable,no
container,helicopter,containers are daxable,helicopters are daxable,no
mammal,duck,mammals are daxable,ducks are daxable,no
furniture,chair,furniture is daxable,chairs are daxable,yes
animal,tulip,animals are daxable,tulips are daxable,no
toiletry,needle,toiletries are daxable,needles are daxable,no
food,recliner,food is daxable,recliners are daxable,no
food,kazoo,food is daxable,kazoos are daxable,no
tool,quill,tools are daxable,quills are daxable,yes
food,toaster oven,food is daxable,toaster ovens are daxable,no
seafood,quesadilla,seafood is daxable,quesadillas are daxable,no
food,squash,food is daxable,squash is daxable,yes
home decor,scarecrow,home decor is daxable,scarecrows are daxable,yes
medical equipment,stethoscope,medical equipment is daxable,stethoscopes are daxable,yes
home decor,birdbath,home decor is daxable,birdbaths are daxable,yes
tool,fishbowl,tools are daxable,fishbowls are daxable,no
seafood,eel,seafood is daxable,eels are daxable,yes
clothing,zipper,clothing is daxable,zippers are daxable,no
vegetable,cauliflower,vegetables are daxable,cauliflowers are daxable,yes
mammal,ram,mammals are daxable,rams are daxable,yes
food,pecan,food is daxable,pecans are daxable,yes
toy,gyroscope,toys are daxable,gyroscopes are daxable,yes
plant,basil,plants are daxable,basil is daxable,yes
drink,marmalade,drinks are daxable,marmalade is daxable,no
food,kiwi,food is daxable,kiwis are daxable,yes
women's clothing,pajamas,women's clothes are daxable,pajamas are daxable,no
animal,van,animals are daxable,vans are daxable,no
container,mango,containers are daxable,mangoes are daxable,no
dessert,pastry,desserts are daxable,pastries are daxable,yes
tool,watering can,tools are daxable,watering cans are daxable,yes
medical equipment,sling,medical equipment is daxable,slings are daxable,yes
fastener,staple,fasteners are daxable,staples are daxable,yes
vehicle,pretzel,vehicles are daxable,pretzels are daxable,no
mammal,smoke alarm,mammals are daxable,smoke alarms are daxable,no
container,dumpster,containers are daxable,dumpsters are daxable,yes
mammal,rabbit,mammals are daxable,rabbits are daxable,yes
sea animal,whale,sea animals are daxable,whales are daxable,yes
tool,saw,tools are daxable,saws are daxable,yes
food,chive,food is daxable,chives are daxable,yes
animal,bush,animals are daxable,bushes are daxable,no
clothing,costume,clothing is daxable,costumes are daxable,yes
food,cordon bleu,food is daxable,cordon bleu sandwiches are daxable,yes
kitchen tool,cleaver,kitchen tools are daxable,cleavers are daxable,yes
tool,trowel,tools are daxable,trowels are daxable,yes
sea animal,platypus,sea animals are daxable,platypuses are daxable,no
fastener,cufflink,fasteners are daxable,cufflinks are daxable,yes
animal,swordfish,animals are daxable,swordfish are daxable,yes
toy,dice,toys are daxable,dices are daxable,no
food,teacup,food is daxable,teacups are daxable,no
vehicle,chariot,vehicles are daxable,chariots are daxable,yes
fastener,bow,fasteners are daxable,a bow is daxable,yes
electronic device,porcupine,electronic devices are daxable,porcupines are daxable,no
tool,donut,tools are daxable,donuts are daxable,no
clothing,barrette,clothing is daxable,barrettes are daxable,no
weapon,nut,weapons are daxable,nuts are daxable,no
medical equipment,scallop,medical equipment is daxable,scallops are daxable,no
tool,rice,tools are daxable,rice is daxable,no
vehicle,carriage,vehicles are daxable,carriages are daxable,yes
container,buggy,containers are daxable,buggies are daxable,no
clothing,necklace,clothing is daxable,necklaces are daxable,no
auto part,hubcap,auto parts are daxable,hubcaps are daxable,yes
mammal,turkey,mammals are daxable,turkeys are daxable,no
sea animal,jellyfish,sea animals are daxable,jellyfish are daxable,yes
vehicle,car,vehicles are daxable,cars are daxable,yes
auto part,motorcycle,auto parts are daxable,motorcycles are daxable,no
home decor,wreath,home decor is daxable,wreaths are daxable,yes
drink,whip,drinks are daxable,whips are daxable,no
clothing,iceskate,clothing is daxable,iceskates are daxable,no
container,nightstand,containers are daxable,nightstands are daxable,yes
tool,water heater,tools are daxable,water heaters are daxable,no
insect,cockroach,insects are daxable,cockroaches are daxable,yes
fastener,tweezers,fasteners are daxable,tweezers are daxable,no
mammal,chipmunk,mammals are daxable,chipmunks are daxable,yes
garden tool,ham,garden tools are daxable,hams are daxable,no
vehicle,airboat,vehicles are daxable,airboats are daxable,yes
vegetable,wrap,vegetables are daxable,a wrap is daxable,no
dessert,rearview mirror,desserts are daxable,rearview mirrors are daxable,no
clothing,coat,clothing is daxable,coats are daxable,yes
food,bush,food is daxable,bushes are daxable,no
clothing,face mask,clothing is daxable,face masks are daxable,no
fruit,pomegranate,fruits are daxable,pomegranates are daxable,yes
tool,safety pin,tools are daxable,safety pins are daxable,no
auto part,celery,auto parts are daxable,celeries are daxable,no
clothing,shower cap,clothing is daxable,shower caps are daxable,no
vehicle,bumper,vehicles are daxable,bumpers are daxable,no
protective clothing,life jacket,protective clothing is daxable,life jackets are daxable,yes
fastener,orangutan,fasteners are daxable,orangutans are daxable,no
dessert,gumdrop,desserts are daxable,gumdrops are daxable,no
musical instrument,microphone,musical instruments are daxable,microphones are daxable,no
animal,pelican,animals are daxable,pelicans are daxable,yes
animal,shrimp,animals are daxable,shrimps are daxable,yes
food,cranberry,food is daxable,cranberries are daxable,yes
tool,crowbar,tools are daxable,crowbars are daxable,yes
container,basket,containers are daxable,baskets are daxable,yes
food,wok,food is daxable,woks are daxable,no
food,strawberry,food is daxable,strawberries are daxable,yes
sea animal,screen,sea animals are daxable,screens are daxable,no
jewelry,pocket watch,jewelry is daxable,pocket watches are daxable,yes
dessert,birthday cake,desserts are daxable,birthday cakes are daxable,yes
food,dough,food is daxable,dough is daxable,yes
mammal,gopher,mammals are daxable,gophers are daxable,yes
jewelry,crown,jewelry is daxable,crowns are daxable,yes
bird,possum,birds are daxable,possums are daxable,no
electronic device,slot machine,electronic devices are daxable,slot machines are daxable,yes
office supply,fountain pen,office supplies are daxable,fountain pens are daxable,yes
water vehicle,baklava,water vehicles are daxable,baklavas are daxable,no
animal,hedgehog,animals are daxable,hedgehogs are daxable,yes
tool,pickax,tools are daxable,pickaxes are daxable,yes
food,spoon,food is daxable,spoons are daxable,no
weapon,bomb,weapons are daxable,bombs are daxable,yes
insect,spider,insects are daxable,spiders are daxable,no
plant,blackberry,plants are daxable,blackberries are daxable,no
clothing,pumpkin,clothing is daxable,pumpkins are daxable,no
clothing,toast,clothing is daxable,toast is daxable,no
footwear,flipper,footwear is daxable,flippers are daxable,yes
electronic device,vending machine,electronic devices are daxable,vending machines are daxable,yes
tool,bookshelf,tools are daxable,bookshelves are daxable,no
vegetable,cucumber,vegetables are daxable,cucumbers are daxable,yes
clothing,gauze,clothing is daxable,gauzes are daxable,no
container,pot,containers are daxable,pots are daxable,yes
furniture,bracket,furniture is daxable,brackets are daxable,no
bird,rat,birds are daxable,rats are daxable,no
clothing,shirt,clothing is daxable,shirts are daxable,yes
clothing,sorbet,clothing is daxable,sorbets are daxable,no
furniture,closet,furniture is daxable,closets are daxable,yes
protective clothing,sweatsuit,protective clothing is daxable,sweatsuits are daxable,no
toiletry,hairbrush,toiletries are daxable,a hairbrush is daxable,yes
medical equipment,maggot,medical equipment is daxable,maggots are daxable,no
musical instrument,gong,musical instruments are daxable,gongs are daxable,yes
vehicle,steak,vehicles are daxable,steaks are daxable,no
home decor,lamb chop,home decor is daxable,lamb chops are daxable,no
insect,caterpillar,insects are daxable,caterpillars are daxable,yes
container,barrel,containers are daxable,barrels are daxable,yes
clothing,raspberry,clothing is daxable,raspberries are daxable,no
kitchen tool,eggbeater,kitchen tools are daxable,eggbeaters are daxable,yes
weapon,razor blade,weapons are daxable,razor blades are daxable,yes
vehicle,raspberry,vehicles are daxable,raspberries are daxable,no
clothing,peach,clothing is daxable,peaches are daxable,no
dessert,whipped cream,desserts are daxable,whipped cream is daxable,yes
toiletry,soap,toiletries are daxable,soaps are daxable,yes
animal,tumbleweed,animals are daxable,tumbleweeds are daxable,no
clothing,doll,clothing is daxable,dolls are daxable,no
food,jam,food is daxable,jams are daxable,yes
plant,staple,plants are daxable,staples are daxable,no
animal,cat,animals are daxable,cats are daxable,yes
plant,bean,plants are daxable,beans are daxable,no
sea animal,inkwell,sea animals are daxable,inkwells are daxable,no
food,ice cream,food is daxable,ice creams are daxable,yes
container,bank,containers are daxable,banks are daxable,yes
accessory,sombrero,accessories are daxable,sombreros are daxable,yes
animal,clover,animals are daxable,clovers are daxable,no
tool,hatchet,tools are daxable,hatchets are daxable,no
headwear,helmet,headwear is daxable,helmets are daxable,yes
mammal,bee,mammals are daxable,bees are daxable,no
protective clothing,helmet,protective clothing is daxable,helmets are daxable,yes
container,coffin,containers are daxable,coffins are daxable,yes
tool,sawhorse,tools are daxable,sawhorses are daxable,yes
toy,rocking horse,toys are daxable,rocking horses are daxable,yes
headwear,tiara,headwear is daxable,tiaras are daxable,yes
food,daisy,food is daxable,daisies are daxable,no
garden tool,pepperoni,garden tools are daxable,pepperonis are daxable,no
tool,duct,tools are daxable,ducts are daxable,yes
food,helmet,food is daxable,helmets are daxable,no
furniture,earwig,furniture is daxable,earwigs are daxable,no
mammal,deer,mammals are daxable,deers are daxable,yes
plant,green beans,plants are daxable,green beans are daxable,no
weapon,ratchet,weapons are daxable,ratchets are daxable,no
accessory,bonnet,accessories are daxable,bonnets are daxable,yes
plant,seaweed,plants are daxable,seaweeds are daxable,yes
food,notebook,food is daxable,notebooks are daxable,no
sea animal,seal,sea animals are daxable,seals are daxable,yes
mammal,poodle,mammals are daxable,poodles are daxable,yes
medical equipment,scalpel,medical equipment is daxable,scalpels are daxable,yes
food,cabbage,food is daxable,cabbages are daxable,yes
plant,broccoli,plants are daxable,broccoli is daxable,yes
game,pickle,games are daxable,pickles are daxable,no
food,grape,food is daxable,grapes are daxable,yes
home decor,lampshade,home decor is daxable,lampshades are daxable,yes
condiment,applesauce,condiments are daxable,applesauce is daxable,yes
condiment,gravy,condiments are daxable,gravy is daxable,yes
protective clothing,papaya,protective clothing is daxable,papayas are daxable,no
animal,headdress,animals are daxable,headdresses are daxable,no
tool,tadpole,tools are daxable,tadpoles are daxable,no
animal,chariot,animals are daxable,chariots are daxable,no
food,french horn,food is daxable,french horns are daxable,no
mammal,hamster,mammals are daxable,hamsters are daxable,yes
electronic device,jukebox,electronic devices are daxable,jukeboxes are daxable,yes
container,petri dish,containers are daxable,petri dishes are daxable,yes
container,windshield,containers are daxable,windshields are daxable,no
toy,pasta,toys are daxable,pasta is daxable,no
animal,squirrel,animals are daxable,squirrels are daxable,yes
bird,mixer,birds are daxable,mixers are daxable,no
game,highlighter,games are daxable,highlighters are daxable,no
breakfast,scrambled egg,breakfasts are daxable,scrambled eggs are daxable,yes
bird,zipper,birds are daxable,zippers are daxable,no
insect,grasshopper,insects are daxable,grasshoppers are daxable,yes
food,turntable,food is daxable,turntables are daxable,no
food,crepe,food is daxable,crepes are daxable,yes
seafood,calamari,seafood is daxable,calamari is daxable,yes
food,spring roll,food is daxable,spring rolls are daxable,yes
medical equipment,radish,medical equipment is daxable,radishes are daxable,no
tool,defibrillator,tools are daxable,defibrillators are daxable,no
clothing,beet,clothing is daxable,beets are daxable,no
food,maggot,food is daxable,maggots are daxable,no
food,crate,food is daxable,crates are daxable,no
vegetable,enchilada,vegetables are daxable,enchiladas are daxable,no
vegetable,stereo,vegetables are daxable,stereos are daxable,no
plant,lettuce,plants are daxable,a lettuce is daxable,yes
sea animal,fishbowl,sea animals are daxable,fishbowls are daxable,no
furniture,bookshelf,furniture is daxable,bookshelves are daxable,yes
musical instrument,harmonica,musical instruments are daxable,harmonicas are daxable,yes
breakfast,face mask,breakfasts are daxable,face masks are daxable,no
mammal,dolphin,mammals are daxable,dolphins are daxable,yes
container,pizza,containers are daxable,pizzas are daxable,no
fastener,mulberry,fasteners are daxable,mulberries are daxable,no
fruit,strawberry,fruits are daxable,strawberries are daxable,yes
tool,combination lock,tools are daxable,combination locks are daxable,yes
food,apple tree,food is daxable,apple trees are daxable,no
toy,ginger,toys are daxable,ginger is daxable,no
garden tool,scissors,garden tools are daxable,scissors are daxable,yes
kitchen tool,alpaca,kitchen tools are daxable,alpacas are daxable,no
food,fish,food is daxable,fish are daxable,yes
food,coffeemaker,food is daxable,coffeemakers are daxable,no
garden tool,pitchfork,garden tools are daxable,pitchforks are daxable,yes
food,cookie,food is daxable,cookies are daxable,yes
mammal,chihuahua,mammals are daxable,chihuahuas are daxable,yes
food,cauliflower,food is daxable,cauliflowers are daxable,yes
kitchen tool,ant,kitchen tools are daxable,ants are daxable,no
fruit,blueberry,fruits are daxable,blueberries are daxable,yes
weapon,nail,weapons are daxable,nails are daxable,no
mammal,seal,mammals are daxable,seals are daxable,yes
tool,hammer,tools are daxable,hammers are daxable,yes
electronic device,record player,electronic devices are daxable,record players are daxable,yes
outerwear,cordon bleu,outerwear is daxable,cordon bleu sandwiches are daxable,no
animal,orchid,animals are daxable,orchids are daxable,no
jewelry,anklet,jewelry is daxable,anklets are daxable,yes
water vehicle,tugboat,water vehicles are daxable,tugboats are daxable,yes
weapon,pliers,weapons are daxable,pliers are daxable,no
furniture,briefcase,furniture is daxable,briefcases are daxable,no
weapon,file,weapons are daxable,files are daxable,no
food,toothpick,food is daxable,toothpicks are daxable,no
auto part,bus,auto parts are daxable,buses are daxable,no
fruit,pea,fruits are daxable,peas are daxable,no
plant,robot,plants are daxable,robots are daxable,no
tool,baton,tools are daxable,batons are daxable,no
food,spinach,food is daxable,spinach is daxable,yes
container,wagon,containers are daxable,wagons are daxable,no
medical equipment,glasses,medical equipment is daxable,glasses are daxable,no
tool,zipper,tools are daxable,zippers are daxable,no
medical equipment,hearing aid,medical equipment is daxable,hearing aids are daxable,yes
fruit,pepper,fruits are daxable,peppers are daxable,no
food,salad,food is daxable,salads are daxable,yes
tool,hash,tools are daxable,hash browns are daxable,no
game,chessboard,games are daxable,chessboards are daxable,yes
fruit,lemon,fruits are daxable,lemons are daxable,yes
animal,bee,animals are daxable,bees are daxable,yes
food,ivy,food is daxable,ivy is daxable,no
tool,cymbal,tools are daxable,cymbals are daxable,no
clothing,plum,clothing is daxable,plums are daxable,no
electronic device,kitten,electronic devices are daxable,kittens are daxable,no
food,cactus,food is daxable,a cactus is daxable,no
vehicle,green beans,vehicles are daxable,green beans are daxable,no
game,crayon,games are daxable,crayons are daxable,no
water vehicle,quad,water vehicles are daxable,quads are daxable,no
candy,taffy,candy is daxable,taffy is daxable,yes
toiletry,lipstick,toiletries are daxable,lipsticks are daxable,yes
tool,iguana,tools are daxable,iguanas are daxable,no
furniture,lectern,furniture is daxable,lecterns are daxable,yes
water vehicle,raft,water vehicles are daxable,rafts are daxable,yes
toiletry,letter opener,toiletries are daxable,letter openers are daxable,no
container,box,containers are daxable,boxes are daxable,yes
food,lavender,food is daxable,lavenders are daxable,no
jewelry,coyote,jewelry is daxable,coyotes are daxable,no
container,pastry,containers are daxable,pastries are daxable,no
clothing,fur coat,clothing is daxable,fur coats are daxable,yes
home decor,yak,home decor is daxable,yaks are daxable,no
electronic device,combination lock,electronic devices are daxable,combination locks are daxable,no
container,garbage truck,containers are daxable,garbage trucks are daxable,no
clothing,loincloth,clothing is daxable,loincloths are daxable,yes
mammal,whale,mammals are daxable,whales are daxable,yes
musical instrument,lion,musical instruments are daxable,lions are daxable,no
animal,seaweed,animals are daxable,seaweeds are daxable,no
toy,kaleidoscope,toys are daxable,kaleidoscopes are daxable,yes
electronic device,cilantro,electronic devices are daxable,cilantro is daxable,no
clothing,blackberry,clothing is daxable,blackberries are daxable,no
accessory,cardigan,accessories are daxable,cardigans are daxable,no
vehicle,golf cart,vehicles are daxable,golf carts are daxable,yes
food,cable,food is daxable,cables are daxable,no
tool,polisher,tools are daxable,polishers are daxable,yes
animal,bat,animals are daxable,bats are daxable,yes
electronic device,water heater,electronic devices are daxable,water heaters are daxable,yes
animal,daisy,animals are daxable,daisies are daxable,no
food,lamb,food is daxable,lambs are daxable,yes
vehicle,mulberry,vehicles are daxable,mulberries are daxable,no
animal,clam,animals are daxable,clams are daxable,yes
animal,pen,animals are daxable,pens are daxable,no
vehicle,wheelchair,vehicles are daxable,wheelchairs are daxable,yes
container,saltshaker,containers are daxable,saltshakers are daxable,yes
electronic device,pineapple,electronic devices are daxable,pineapples are daxable,no
container,truck,containers are daxable,trucks are daxable,no
tool,air pump,tools are daxable,air pumps are daxable,yes
auto part,roadsweeper,auto parts are daxable,roadsweepers are daxable,no
animal,owl,animals are daxable,owls are daxable,yes
container,cup,containers are daxable,cups are daxable,yes
clothing,locket,clothing is daxable,lockets are daxable,no
tool,needle,tools are daxable,needles are daxable,yes
auto part,car seat,auto parts are daxable,car seats are daxable,yes
breakfast,robot,breakfasts are daxable,robots are daxable,no
headwear,corset,headwear is daxable,corsets are daxable,no
animal,cardinal,animals are daxable,cardinals are daxable,yes
plant,apple tree,plants are daxable,apple trees are daxable,yes
tool,coconut,tools are daxable,coconuts are daxable,no
vehicle,quad,vehicles are daxable,quads are daxable,yes
mammal,shopping cart,mammals are daxable,shopping carts are daxable,no
vegetable,bok choy,vegetables are daxable,bok choys are daxable,yes
mammal,hippopotamus,mammals are daxable,hippos are daxable,yes
medical equipment,guacamole,medical equipment is daxable,guacamole is daxable,no
fastener,weasel,fasteners are daxable,weasels are daxable,no
clothing,bonnet,clothing is daxable,bonnets are daxable,yes
fastener,crab,fasteners are daxable,crabs are daxable,no
auto part,quesadilla,auto parts are daxable,quesadillas are daxable,no
candy,clarinet,candy is daxable,clarinets are daxable,no
food,goat,food is daxable,goats are daxable,yes
