idx,category,hypernym,negative_sample,hypernym_sentence,negative_sentence
1380,graffiti,artwork,animal food,graffiti is a type of artwork,graffiti is a type of animal food
1381,graffiti,art,path,graffiti is a type of art,graffiti is a type of path
1382,graffiti,art,musical instrument,graffiti is a type of art,graffiti is a type of musical instrument
1383,graffiti,art,gathering,graffiti is a type of art,graffiti is a type of gathering
1384,graffiti,art,appliance,graffiti is a type of art,graffiti is a type of appliance
1385,seagull,aquatic bird,rock,seagulls are a type of aquatic bird,seagulls are a type of rock
1386,seagull,aquatic bird,invertebrate,seagulls are a type of aquatic bird,seagulls are a type of invertebrate
1387,seagull,aquatic bird,measuring instrument,seagulls are a type of aquatic bird,seagulls are a type of measuring instrument
1388,seagull,aquatic bird,beverage,seagulls are a type of aquatic bird,seagulls are a type of beverage
1389,seagull,bird,adult,seagulls are a type of bird,seagulls are a type of adult
1390,seagull,bird,car,seagulls are a type of bird,seagulls are a type of car
1391,seagull,bird,cleaning tool,seagulls are a type of bird,seagulls are a type of cleaning tool
1392,seagull,bird,insect,seagulls are a type of bird,seagulls are a type of insect
1393,seagull,vertebrate,stick,seagulls are a type of vertebrate,seagulls are a type of stick
1394,seagull,vertebrate,piece of cloth,seagulls are a type of vertebrate,seagulls are a type of piece of cloth
1395,seagull,vertebrate,people,seagulls are a type of vertebrate,seagulls are a type of people
1396,seagull,vertebrate,measuring instrument,seagulls are a type of vertebrate,seagulls are a type of measuring instrument
1397,seagull,animal,succulent,seagulls are a type of animal,seagulls are a type of succulent
1398,seagull,animal,tool,seagulls are a type of animal,seagulls are a type of tool
1399,seagull,animal,measuring instrument,seagulls are a type of animal,seagulls are a type of measuring instrument
1400,seagull,animal,equipment,seagulls are a type of animal,seagulls are a type of equipment
1401,blouse,top,baked good,blouses are a type of top,blouses are a type of baked good
1402,blouse,top,small boat,blouses are a type of top,blouses are a type of small boat
1403,blouse,top,salad green,blouses are a type of top,blouses are a type of salad green
1404,blouse,top,club,blouses are a type of top,blouses are a type of club
1405,blouse,woman's clothing,kitchen appliance,blouses are a type of women's clothing,blouses are a type of kitchen appliance
1406,blouse,woman's clothing,tableware,blouses are a type of women's clothing,blouses are a type of tableware
1407,blouse,woman's clothing,device,blouses are a type of women's clothing,blouses are a type of device
1408,blouse,woman's clothing,hoop,blouses are a type of women's clothing,blouses are a type of hoop
1409,blouse,clothing,bird of prey,blouses are a type of clothing,blouses are a type of bird of prey
1410,blouse,clothing,tube,blouses are a type of clothing,blouses are a type of tube
1411,blouse,clothing,fluid,blouses are a type of clothing,blouses are a type of fluid
1412,blouse,clothing,light fixture,blouses are a type of clothing,blouses are a type of light fixture
1413,glove,baseball equipment,child,gloves are a type of baseball equipment,gloves are a type of child
1414,glove,baseball equipment,garment,gloves are a type of baseball equipment,gloves are a type of garment
1415,glove,baseball equipment,stick,gloves are a type of baseball equipment,gloves are a type of stick
1416,glove,baseball equipment,headgear,gloves are a type of baseball equipment,gloves are a type of headgear
1417,glove,sports equipment,percussion instrument,gloves are a type of sports equipment,gloves are a type of percussion instrument
1418,glove,sports equipment,entrance,gloves are a type of sports equipment,gloves are a type of entrance
1419,glove,sports equipment,mixer,gloves are a type of sports equipment,gloves are a type of mixer
1420,glove,sports equipment,source of illumination,gloves are a type of sports equipment,gloves are a type of source of illumination
1421,glove,equipment,utensil,gloves are a type of equipment,gloves are a type of utensil
1422,glove,equipment,blind,gloves are a type of equipment,gloves are a type of blinds
1423,glove,equipment,covering,gloves are a type of equipment,gloves are a type of covering
1424,glove,equipment,plant,gloves are a type of equipment,gloves are a type of plant
1425,wetsuit,garment,lake,wetsuits are a type of garment,wetsuits are a type of lake
1426,wetsuit,garment,waste,wetsuits are a type of garment,wetsuits are a type of waste
1427,wetsuit,garment,furniture,wetsuits are a type of garment,wetsuits are a type of furniture
1428,wetsuit,garment,work surface,wetsuits are a type of garment,wetsuits are a type of work surface
1429,wetsuit,clothing,stalk,wetsuits are a type of clothing,wetsuits are a type of stalk
1430,wetsuit,clothing,vessel,wetsuits are a type of clothing,wetsuits are a type of vessel
1431,wetsuit,clothing,utensil,wetsuits are a type of clothing,wetsuits are a type of utensil
1432,wetsuit,clothing,shelter,wetsuits are a type of clothing,wetsuits are a type of shelter
1433,receipt,paper,vegetable,receipts are a type of paper,receipts are a type of vegetable
1434,receipt,paper,container,receipts are a type of paper,receipts are a type of container
1435,receipt,paper,headgear,receipts are a type of paper,receipts are a type of headgear
1436,receipt,paper,flower arrangement,receipts are a type of paper,receipts are a type of flower arrangement
1437,champagne,wine,writing tool,champagne is a type of wine,champagne is a type of writing tool
1438,champagne,wine,woman,champagne is a type of wine,champagne is a type of woman
1439,champagne,wine,citrus fruit,champagne is a type of wine,champagne is a type of citrus fruit
1440,champagne,wine,bedroom furniture,champagne is a type of wine,champagne is a type of bedroom furniture
1441,champagne,alcohol,utensil,champagne is a type of alcohol,champagne is a type of utensil
1442,champagne,alcohol,cutlery,champagne is a type of alcohol,champagne is a type of cutlery
1443,champagne,alcohol,feline,champagne is a type of alcohol,champagne is a type of feline
1444,champagne,alcohol,flower arrangement,champagne is a type of alcohol,champagne is a type of flower arrangement
1445,champagne,beverage,people,champagne is a type of beverage,champagne is a type of people
1446,champagne,beverage,walk,champagne is a type of beverage,champagne is a type of walk
1447,champagne,beverage,canine,champagne is a type of beverage,champagne is a type of canine
1448,champagne,beverage,sweater,champagne is a type of beverage,champagne is a type of sweater
1449,tunnel,passageway,bedroom furniture,tunnels are a type of passageway,tunnels are a type of bedroom furniture
1450,tunnel,passageway,garment,tunnels are a type of passageway,tunnels are a type of garment
1451,tunnel,passageway,artwork,tunnels are a type of passageway,tunnels are a type of artwork
1452,tunnel,passageway,wine,tunnels are a type of passageway,tunnels are a type of wine
1453,girl,person,baggage,a girl is a person,a girl is a baggage
1454,girl,person,insect,a girl is a person,a girl is an insect
1455,girl,person,water vehicle,a girl is a person,a girl is a water vehicle
1456,girl,person,church,a girl is a person,a girl is a church
1457,sail,piece of cloth,athlete,a sail are a type of piece of cloth,a sail are a type of athlete
1458,sail,piece of cloth,condiment,a sail are a type of piece of cloth,a sail are a type of condiment
1459,sail,piece of cloth,tool,a sail are a type of piece of cloth,a sail are a type of tool
1460,sail,piece of cloth,wheeled vehicle,a sail are a type of piece of cloth,a sail are a type of wheeled vehicle
1461,sail,clothing,meat,a sail are a type of clothing,a sail are a type of meat
1462,sail,clothing,kitchen appliance,a sail are a type of clothing,a sail are a type of kitchen appliance
1463,sail,clothing,flatware,a sail are a type of clothing,a sail are a type of flatware
1464,sail,clothing,path,a sail are a type of clothing,a sail are a type of path
1465,ketchup,condiment,building,ketchup is a type of condiment,ketchup is a type of building
1466,ketchup,condiment,entrance,ketchup is a type of condiment,ketchup is a type of entrance
1467,ketchup,condiment,home appliance,ketchup is a type of condiment,ketchup is a type of home appliance
1468,ketchup,condiment,furniture,ketchup is a type of condiment,ketchup is a type of furniture
1469,ketchup,food,baked good,ketchup is a type of food,ketchup is a type of baked good
1470,ketchup,food,lake,ketchup is a type of food,ketchup is a type of lake
1471,ketchup,food,ball,ketchup is a type of food,ketchup is a type of ball
1472,ketchup,food,bag,ketchup is a type of food,ketchup is a type of bag
1473,dispenser,container,footwear,dispensers are a type of container,dispensers are a type of footwear
1474,dispenser,container,cat,dispensers are a type of container,dispensers are a type of cat
1475,dispenser,container,club,dispensers are a type of container,dispensers are a type of club
1476,dispenser,container,salad green,dispensers are a type of container,dispensers are a type of salad green
1477,bun,bread,keyboard instrument,buns are a type of bread,buns are a type of keyboard instrument
1478,bun,bread,sports equipment,buns are a type of bread,buns are a type of sports equipment
1479,bun,bread,barrier,buns are a type of bread,buns are a type of barrier
1480,bun,bread,table,buns are a type of bread,buns are a type of table
1481,bun,baked good,device,buns are a type of baked good,buns are a type of device
1482,bun,baked good,tabletop,buns are a type of baked good,buns are a type of tabletop
1483,bun,baked good,piece of cloth,buns are a type of baked good,buns are a type of piece of cloth
1484,bun,baked good,child,buns are a type of baked good,buns are a type of child
1485,bun,food,car,buns are a type of food,buns are a type of car
1486,bun,food,structure,buns are a type of food,buns are a type of structure
1487,bun,food,canine,buns are a type of food,buns are a type of canine
1488,bun,food,cutlery,buns are a type of food,buns are a type of cutlery
1489,planter,pot,band,planters are a type of pot,planters are a type of band
1490,planter,pot,canine,planters are a type of pot,planters are a type of canine
1491,planter,pot,area,planters are a type of pot,planters are a type of area
1492,planter,pot,gathering,planters are a type of pot,planters are a type of gathering
1493,planter,vessel,lake,planters are a type of vessel,planters are a type of lake
1494,planter,vessel,building,planters are a type of vessel,planters are a type of building
1495,planter,vessel,bread,planters are a type of vessel,planters are a type of bread
1496,planter,vessel,grassland,planters are a type of vessel,planters are a type of grassland
1497,planter,container,kitchen appliance,planters are a type of container,planters are a type of kitchen appliance
1498,planter,container,arrangement,planters are a type of container,planters are a type of arrangement
1499,planter,container,tableware,planters are a type of container,planters are a type of tableware
1500,planter,container,hair,planters are a type of container,planters are a type of hair
1501,urinal,plumbing fixture,cat,urinals are a type of plumbing fixture,urinals are a type of cat
1502,urinal,plumbing fixture,strip,urinals are a type of plumbing fixture,urinals are a type of strip
1503,urinal,plumbing fixture,access,urinals are a type of plumbing fixture,urinals are a type of access
1504,urinal,plumbing fixture,group,urinals are a type of plumbing fixture,urinals are a type of group
1505,urinal,fixture,water vehicle,urinals are a type of fixture,urinals are a type of water vehicle
1506,urinal,fixture,boat,urinals are a type of fixture,urinals are a type of boat
1507,urinal,fixture,clothing,urinals are a type of fixture,urinals are a type of clothing
1508,urinal,fixture,produce,urinals are a type of fixture,urinals are a type of produce
1509,branch,stalk,domestic fowl,branches are a type of stalk,branches are a type of domestic fowl
1510,branch,stalk,utensil,branches are a type of stalk,branches are a type of utensil
1511,branch,stalk,cutlery,branches are a type of stalk,branches are a type of cutlery
1512,branch,stalk,vehicle,branches are a type of stalk,branches are a type of vehicle
1513,suit,garment,adult,suits are a type of garment,suits are a type of adult
1514,suit,garment,road,suits are a type of garment,suits are a type of road
1515,suit,garment,official,suits are a type of garment,suits are a type of official
1516,suit,garment,sheet,suits are a type of garment,suits are a type of sheet
1517,suit,clothing,road,suits are a type of clothing,suits are a type of road
1518,suit,clothing,computer,suits are a type of clothing,suits are a type of computer
1519,suit,clothing,footwear,suits are a type of clothing,suits are a type of footwear
1520,suit,clothing,insect,suits are a type of clothing,suits are a type of insect
1521,sauce,condiment,artwork,sauces are a type of condiment,sauces are a type of artwork
1522,sauce,condiment,seat,sauces are a type of condiment,sauces are a type of seat
1523,sauce,condiment,hoop,sauces are a type of condiment,sauces are a type of hoop
1524,sauce,condiment,instrument,sauces are a type of condiment,sauces are a type of instrument
1525,sauce,food,writing tool,sauces are a type of food,sauces are a type of writing tool
1526,sauce,food,produce,sauces are a type of food,sauces are a type of produce
1527,sauce,food,jar,sauces are a type of food,sauces are a type of jar
1528,sauce,food,ball,sauces are a type of food,sauces are a type of ball
1529,puddle,body of water,cleaning tool,a puddle is a body of water,a puddle is a cleaning tool
1530,puddle,body of water,partition,a puddle is a body of water,a puddle is a partition
1531,puddle,body of water,light fixture,a puddle is a body of water,a puddle is a light fixture
1532,puddle,body of water,footwear,a puddle is a body of water,a puddle is footwear
1533,shoe,footwear,path,shoes are a type of footwear,shoes are a type of path
1534,shoe,footwear,decoration,shoes are a type of footwear,shoes are a type of decoration
1535,shoe,footwear,writing tool,shoes are a type of footwear,shoes are a type of writing tool
1536,shoe,footwear,walk,shoes are a type of footwear,shoes are a type of walk
1537,shoe,covering,sheet,shoes are a type of covering,shoes are a type of sheet
1538,shoe,covering,measuring instrument,shoes are a type of covering,shoes are a type of measuring instrument
1539,shoe,covering,sign,shoes are a type of covering,shoes are a type of sign
1540,shoe,covering,rider,shoes are a type of covering,shoes are a type of rider
1541,hallway,corridor,fruit,a hallway is a type of corridor,a hallway is a type of fruit
1542,hallway,corridor,protective covering,a hallway is a type of corridor,a hallway is a type of protective covering
1543,hallway,corridor,condiment,a hallway is a type of corridor,a hallway is a type of condiment
1544,hallway,corridor,invertebrate,a hallway is a type of corridor,a hallway is a type of invertebrate
1545,hallway,passage,keyboard instrument,a hallway is a type of passage,a hallway is a type of keyboard instrument
1546,hallway,passage,canine,a hallway is a type of passage,a hallway is a type of canine
1547,hallway,passage,strip,a hallway is a type of passage,a hallway is a type of strip
1548,hallway,passage,paved surface,a hallway is a type of passage,a hallway is a type of paved surface
1549,cucumber,vegetable,top,cucumbers are a type of vegetable,cucumbers are a type of top
1550,cucumber,vegetable,traveler,cucumbers are a type of vegetable,cucumbers are a type of traveler
1551,cucumber,vegetable,stalk,cucumbers are a type of vegetable,cucumbers are a type of stalk
1552,cucumber,vegetable,sheet,cucumbers are a type of vegetable,cucumbers are a type of sheet
1553,cucumber,produce,work surface,cucumbers are a type of produce,cucumbers are a type of work surface
1554,cucumber,produce,car,cucumbers are a type of produce,cucumbers are a type of car
1555,cucumber,produce,art,cucumbers are a type of produce,cucumbers are a type of art
1556,cucumber,produce,toiletry,cucumbers are a type of produce,cucumbers are a type of toiletry
1557,cucumber,food,sandwich,cucumbers are a type of food,cucumbers are a type of sandwich
1558,cucumber,food,keyboard instrument,cucumbers are a type of food,cucumbers are a type of keyboard instrument
1559,cucumber,food,sign,cucumbers are a type of food,cucumbers are a type of sign
1560,cucumber,food,coat,cucumbers are a type of food,cucumbers are a type of coat
1561,toothbrush,brush,plumbing fixture,toothbrushes are a type of brush,toothbrushes are a type of plumbing fixture
1562,toothbrush,brush,fruit,toothbrushes are a type of brush,toothbrushes are a type of fruit
1563,toothbrush,brush,soil,toothbrushes are a type of brush,toothbrushes are a type of soil
1564,toothbrush,brush,fluid,toothbrushes are a type of brush,toothbrushes are a type of fluid
1565,toothbrush,tool,computer,toothbrushes are a type of tool,toothbrushes are a type of computer
1566,toothbrush,tool,mammal,toothbrushes are a type of tool,toothbrushes are a type of mammal
1567,toothbrush,tool,fruit,toothbrushes are a type of tool,toothbrushes are a type of fruit
1568,toothbrush,tool,woody plant,toothbrushes are a type of tool,toothbrushes are a type of woody plant
1569,purse,bag,animal,purses are a type of bag,purses are a type of animal
1570,purse,bag,cleaning tool,purses are a type of bag,purses are a type of cleaning tool
1571,purse,bag,horizontal surface,purses are a type of bag,purses are a type of horizontal surface
1572,purse,bag,appliance,purses are a type of bag,purses are a type of appliance
1573,purse,container,woman,purses are a type of container,purses are a type of woman
1574,purse,container,case,purses are a type of container,purses are a type of case
1575,purse,container,absorbent material,purses are a type of container,purses are a type of absorbent material
1576,purse,container,car,purses are a type of container,purses are a type of car
1577,picture,artwork,dairy product,pictures are a type of artwork,pictures are a type of dairy product
1578,picture,artwork,car,pictures are a type of artwork,pictures are a type of car
1579,picture,artwork,facility,pictures are a type of artwork,pictures are a type of facility
1580,picture,artwork,coat,pictures are a type of artwork,pictures are a type of coat
1581,picture,art,photographic equipment,pictures are a type of art,pictures are a type of photographic equipment
1582,picture,art,neckwear,pictures are a type of art,pictures are a type of neckwear
1583,picture,art,feed,pictures are a type of art,pictures are a type of feed
1584,picture,art,utensil,pictures are a type of art,pictures are a type of utensil
1585,uniform,clothing,piece of cloth,uniforms are a type of clothing,uniforms are a type of piece of cloth
1586,uniform,clothing,mammal,uniforms are a type of clothing,uniforms are a type of mammal
1587,uniform,clothing,utensil,uniforms are a type of clothing,uniforms are a type of utensil
1588,uniform,clothing,paved surface,uniforms are a type of clothing,uniforms are a type of paved surface
1589,pitcher,athlete,insect,pitchers are a type of athlete,pitchers are a type of insect
1590,pitcher,athlete,mammal,pitchers are a type of athlete,pitchers are a type of mammal
1591,pitcher,athlete,percussion instrument,pitchers are a type of athlete,pitchers are a type of percussion instrument
1592,pitcher,athlete,vertebrate,pitchers are a type of athlete,pitchers are a type of vertebrate
1593,pitcher,person,coat,pitchers are a type of person,pitchers are a type of coat
1594,pitcher,person,access,pitchers are a type of person,pitchers are a type of access
1595,pitcher,person,kitchen utensil,pitchers are a type of person,pitchers are a type of kitchen utensil
1596,pitcher,person,tool,pitchers are a type of person,pitchers are a type of tool
1597,cookie,baked good,hand tool,cookies are a type of baked good,cookies are a type of hand tool
1598,cookie,baked good,club,cookies are a type of baked good,cookies are a type of club
1599,cookie,baked good,acoustic device,cookies are a type of baked good,cookies are a type of acoustic device
1600,cookie,baked good,surface,cookies are a type of baked good,cookies are a type of surface
1601,cookie,food,hoop,cookies are a type of food,cookies are a type of hoop
1602,cookie,food,sheet,cookies are a type of food,cookies are a type of sheet
1603,cookie,food,bag,cookies are a type of food,cookies are a type of bag
1604,cookie,food,cleaning tool,cookies are a type of food,cookies are a type of cleaning tool
1605,lemon,citrus fruit,alcohol,lemons are a type of citrus fruit,lemons are a type of alcohol
1606,lemon,citrus fruit,man,lemons are a type of citrus fruit,lemons are a type of man
1607,lemon,citrus fruit,table linen,lemons are a type of citrus fruit,lemons are a type of table linen
1608,lemon,citrus fruit,child,lemons are a type of citrus fruit,lemons are a type of child
1609,lemon,fruit,cutlery,lemons are a type of fruit,lemons are a type of cutlery
1610,lemon,fruit,personal computer,lemons are a type of fruit,lemons are a type of personal computer
1611,lemon,fruit,meat,lemons are a type of fruit,lemons are a type of meat
1612,lemon,fruit,facility,lemons are a type of fruit,lemons are a type of facility
1613,lemon,food,ball,lemons are a type of food,lemons are a type of ball
1614,lemon,food,hair,lemons are a type of food,lemons are a type of hair
1615,lemon,food,furniture,lemons are a type of food,lemons are a type of furniture
1616,lemon,food,cleaning tool,lemons are a type of food,lemons are a type of cleaning tool
1617,bowl,vessel,liquid,bowls are a type of vessel,bowls are a type of liquid
1618,bowl,vessel,area,bowls are a type of vessel,bowls are a type of area
1619,bowl,vessel,bat,bowls are a type of vessel,bowls are a type of bat
1620,bowl,vessel,footwear,bowls are a type of vessel,bowls are a type of footwear
1621,bowl,container,path,bowls are a type of container,bowls are a type of path
1622,bowl,container,meat,bowls are a type of container,bowls are a type of meat
1623,bowl,container,building,bowls are a type of container,bowls are a type of building
1624,bowl,container,church,bowls are a type of container,bowls are a type of church
1625,liquid,fluid,path,liquids are a type of fluid,liquids are a type of path
1626,liquid,fluid,furniture,liquids are a type of fluid,liquids are a type of furniture
1627,liquid,fluid,condiment,liquids are a type of fluid,liquids are a type of condiment
1628,liquid,fluid,jewelry,liquids are a type of fluid,liquids are a type of jewelry
1629,sausage,meat,shirt,sausages are a type of meat,sausages are a type of shirt
1630,sausage,meat,bag,sausages are a type of meat,sausages are a type of bag
1631,sausage,meat,barrier,sausages are a type of meat,sausages are a type of barrier
1632,sausage,meat,top,sausages are a type of meat,sausages are a type of top
1633,sausage,food,brush,sausages are a type of food,sausages are a type of brush
1634,sausage,food,linen,sausages are a type of food,sausages are a type of linen
1635,sausage,food,vertebrate,sausages are a type of food,sausages are a type of vertebrate
1636,sausage,food,club,sausages are a type of food,sausages are a type of club
1637,bookshelf,shelf,plumbing fixture,bookshelves are a type of shelf,bookshelves are a type of plumbing fixture
1638,bookshelf,shelf,artwork,bookshelves are a type of shelf,bookshelves are a type of artwork
1639,bookshelf,shelf,art,bookshelves are a type of shelf,bookshelves are a type of art
1640,bookshelf,shelf,sports equipment,bookshelves are a type of shelf,bookshelves are a type of sports equipment
1641,drawer,container,sheet,drawers are a type of container,drawers are a type of sheet
1642,drawer,container,strip,drawers are a type of container,drawers are a type of strip
1643,drawer,container,sweater,drawers are a type of container,drawers are a type of sweater
1644,drawer,container,bread,drawers are a type of container,drawers are a type of bread
1645,couch,seat,adult,couches are a type of seat,couches are a type of adult
1646,couch,seat,breakfast food,couches are a type of seat,couches are a type of breakfast food
1647,couch,seat,baseball equipment,couches are a type of seat,couches are a type of baseball equipment
1648,couch,seat,fixture,couches are a type of seat,couches are a type of fixture
1649,couch,furniture,lake,couches are a type of furniture,couches are a type of lake
1650,couch,furniture,vegetable,couches are a type of furniture,couches are a type of vegetable
1651,couch,furniture,grassland,couches are a type of furniture,couches are a type of grassland
1652,couch,furniture,keyboard instrument,couches are a type of furniture,couches are a type of keyboard instrument
1653,trash,waste,motor vehicle,trash is a type of waste,trash is a type of motor vehicle
1654,trash,waste,musical instrument,trash is a type of waste,trash is a type of musical instrument
1655,trash,waste,tube,trash is a type of waste,trash is a type of tube
1656,trash,waste,baggage,trash is a type of waste,trash is a type of baggage
1657,wool,clothing,flower arrangement,wool is a type of clothing,wool is a type of flower arrangement
1658,wool,clothing,stringed instrument,wool is a type of clothing,wool is a type of stringed instrument
1659,wool,clothing,building,wool is a type of clothing,wool is a type of building
1660,wool,clothing,produce,wool is a type of clothing,wool is a type of produce
1661,bike,motor vehicle,baggage,bikes are a type of motor vehicle,bikes are a type of baggage
1662,bike,motor vehicle,coat,bikes are a type of motor vehicle,bikes are a type of coat
1663,bike,motor vehicle,surface,bikes are a type of motor vehicle,bikes are a type of surface
1664,bike,motor vehicle,source of illumination,bikes are a type of motor vehicle,bikes are a type of source of illumination
1665,bike,wheeled vehicle,meat,bikes are a type of wheeled vehicle,bikes are a type of meat
1666,bike,wheeled vehicle,seat,bikes are a type of wheeled vehicle,bikes are a type of seat
1667,bike,wheeled vehicle,stick,bikes are a type of wheeled vehicle,bikes are a type of stick
1668,bike,wheeled vehicle,baked good,bikes are a type of wheeled vehicle,bikes are a type of baked good
1669,bike,vehicle,decoration,bikes are a type of vehicle,bikes are a type of decoration
1670,bike,vehicle,piece of cloth,bikes are a type of vehicle,bikes are a type of piece of cloth
1671,bike,vehicle,ornament,bikes are a type of vehicle,bikes are a type of ornament
1672,bike,vehicle,tabletop,bikes are a type of vehicle,bikes are a type of tabletop
1673,vest,garment,building,vests are a type of garment,vests are a type of building
1674,vest,garment,cleaning tool,vests are a type of garment,vests are a type of cleaning tool
1675,vest,garment,flower arrangement,vests are a type of garment,vests are a type of flower arrangement
1676,vest,garment,case,vests are a type of garment,vests are a type of case
1677,vest,clothing,cattle,vests are a type of clothing,vests are a type of cattle
1678,vest,clothing,kitchen utensil,vests are a type of clothing,vests are a type of kitchen utensil
1679,vest,clothing,rock,vests are a type of clothing,vests are a type of rock
1680,vest,clothing,water vehicle,vests are a type of clothing,vests are a type of water vehicle
1681,napkin,table linen,structure,napkins are a type of table linen,napkins are a type of structure
1682,napkin,table linen,kitchen appliance,napkins are a type of table linen,napkins are a type of kitchen appliance
1683,napkin,table linen,sheet metal,napkins are a type of table linen,napkins are a type of sheet metal
1684,napkin,table linen,cat,napkins are a type of table linen,napkins are a type of cat
1685,napkin,linen,absorbent material,napkins are a type of linen,napkins are a type of absorbent material
1686,napkin,linen,bedding,napkins are a type of linen,napkins are a type of bedding
1687,napkin,linen,earth,napkins are a type of linen,napkins are a type of earth
1688,napkin,linen,jar,napkins are a type of linen,napkins are a type of jar
1689,napkin,covering,woody plant,napkins are a type of covering,napkins are a type of woody plant
1690,napkin,covering,strip,napkins are a type of covering,napkins are a type of strip
1691,napkin,covering,computer,napkins are a type of covering,napkins are a type of computer
1692,napkin,covering,rider,napkins are a type of covering,napkins are a type of rider
1693,audience,gathering,sheet,an audience is a type of gathering,an audience is a type of sheet
1694,audience,gathering,insect,an audience is a type of gathering,an audience is a type of insect
1695,audience,gathering,beverage,an audience is a type of gathering,an audience is a type of beverage
1696,audience,gathering,protective covering,an audience is a type of gathering,an audience is a type of protective covering
1697,audience,group,feed,an audience is a type of group,an audience is a type of feed
1698,audience,group,car,an audience is a type of group,an audience is a type of car
1699,audience,group,jewelry,an audience is a type of group,an audience is a type of jewelry
1700,audience,group,root vegetable,an audience is a type of group,an audience is a type of root vegetable
1701,coat,garment,establishment,coats are a type of garment,coats are a type of establishment
1702,coat,garment,home appliance,coats are a type of garment,coats are a type of home appliance
1703,coat,garment,container,coats are a type of garment,coats are a type of container
1704,coat,garment,fluid,coats are a type of garment,coats are a type of fluid
1705,coat,clothing,jewelry,coats are a type of clothing,coats are a type of jewelry
1706,coat,clothing,wagon,coats are a type of clothing,coats are a type of wagon
1707,coat,clothing,piece of cloth,coats are a type of clothing,coats are a type of piece of cloth
1708,coat,clothing,linen,coats are a type of clothing,coats are a type of linen
1709,surfboard,board,garnish,a surfboard is a type of board,a surfboard is a type of garnish
1710,surfboard,board,room,a surfboard is a type of board,a surfboard is a type of room
1711,surfboard,board,building,a surfboard is a type of board,a surfboard is a type of building
1712,surfboard,board,stringed instrument,a surfboard is a type of board,a surfboard is a type of stringed instrument
1713,pan,kitchen utensil,stick,pans are a type of kitchen utensil,pans are a type of stick
1714,pan,kitchen utensil,partition,pans are a type of kitchen utensil,pans are a type of partition
1715,pan,kitchen utensil,appliance,pans are a type of kitchen utensil,pans are a type of appliance
1716,pan,kitchen utensil,area,pans are a type of kitchen utensil,pans are a type of area
1717,pan,utensil,wagon,pans are a type of utensil,pans are a type of wagon
1718,pan,utensil,walk,pans are a type of utensil,pans are a type of walk
1719,pan,utensil,food,pans are a type of utensil,pans are a type of food
1720,pan,utensil,barrier,pans are a type of utensil,pans are a type of barrier
1721,policeman,person,dairy product,a policeman is a person,a policeman is dairy products
1722,policeman,person,coat,a policeman is a person,a policeman is a coat
1723,policeman,person,fodder,a policeman is a person,a policeman is fodder
1724,policeman,person,meat,a policeman is a person,a policeman is meat
1725,ring,jewelry,wine,rings are a type of jewelry,rings are a type of wine
1726,ring,jewelry,wagon,rings are a type of jewelry,rings are a type of wagon
1727,ring,jewelry,man,rings are a type of jewelry,rings are a type of man
1728,ring,jewelry,soil,rings are a type of jewelry,rings are a type of soil
1729,ring,ornament,bedding,rings are a type of ornament,rings are a type of bedding
1730,ring,ornament,salad green,rings are a type of ornament,rings are a type of salad green
1731,ring,ornament,percussion instrument,rings are a type of ornament,rings are a type of percussion instrument
1732,ring,ornament,kitchen utensil,rings are a type of ornament,rings are a type of kitchen utensil
1733,ring,decoration,alcohol,rings are a type of decoration,rings are a type of alcohol
1734,ring,decoration,hand tool,rings are a type of decoration,rings are a type of hand tool
1735,ring,decoration,bedroom furniture,rings are a type of decoration,rings are a type of bedroom furniture
1736,ring,decoration,game,rings are a type of decoration,rings are a type of game
1737,hat,headgear,sign,hats are a type of headgear,hats are a type of sign
1738,hat,headgear,cattle,hats are a type of headgear,hats are a type of cattle
1739,hat,headgear,plumbing fixture,hats are a type of headgear,hats are a type of plumbing fixture
1740,hat,headgear,aquatic bird,hats are a type of headgear,hats are a type of aquatic bird
1741,hat,covering,wheeled vehicle,hats are a type of covering,hats are a type of wheeled vehicle
1742,hat,covering,room,hats are a type of covering,hats are a type of room
1743,hat,covering,establishment,hats are a type of covering,hats are a type of establishment
1744,hat,covering,surface,hats are a type of covering,hats are a type of surface
1745,couple,people,absorbent material,a couple is a person,a couple is an absorbent material
1746,couple,people,garnish,a couple is a person,a couple is garnish
1747,couple,people,group,a couple is a person,a couple is a group
1748,couple,people,athlete,a couple is a person,a couple is an athelete
1749,bicycle,wheeled vehicle,woody plant,a bicycle is a type of wheeled vehicle,a bicycle is a type of woody plant
1750,bicycle,wheeled vehicle,strip,a bicycle is a type of wheeled vehicle,a bicycle is a type of strip
1751,bicycle,wheeled vehicle,canine,a bicycle is a type of wheeled vehicle,a bicycle is a type of canine
1752,bicycle,wheeled vehicle,fluid,a bicycle is a type of wheeled vehicle,a bicycle is a type of fluid
1753,bicycle,vehicle,shirt,a bicycle is a type of vehicle,a bicycle is a type of shirt
1754,bicycle,vehicle,toy,a bicycle is a type of vehicle,a bicycle is a type of toy
1755,bicycle,vehicle,rock,a bicycle is a type of vehicle,a bicycle is a type of rock
1756,bicycle,vehicle,tableware,a bicycle is a type of vehicle,a bicycle is a type of tableware
1757,surfer,athlete,woman,a surfer is an athelete,a surfer is a woman
1758,surfer,athlete,people,a surfer is an athelete,a surfer is a person
1759,surfer,athlete,kitchen appliance,a surfer is an athelete,a surfer is a kitchen appliance
