premise,conclusion,hypernymy,similarity_raw,similarity_binary,premise_form,conclusion_form
mammal,zebra,yes,0.9210129976272583,high,mammals,zebras
mammal,panther,yes,0.9127320051193237,high,mammals,panthers
electronic device,defibrillator,yes,0.7575148344039917,high,electronic devices,defibrillators
weapon,pug,no,0.12518876791000366,low,weapons,pugs
animal,eagle,yes,0.8682777285575867,high,animals,eagles
toy,french fries,no,0.13496361672878265,low,toys,french fries
food,scone,yes,0.7957453727722168,high,food,scones
accessory,bow,yes,0.7264847755432129,low,accessories,bow
food,seaweed,yes,0.47923555970191956,high,food,seaweeds
fruit,golf cart,no,0.08544192463159561,low,fruits,golf carts
tool,antelope,no,0.10260801762342453,low,tools,antelopes
water vehicle,sailboat,yes,0.9516502022743225,high,water vehicles,sailboats
electronic device,cellphone,yes,0.7364351749420166,high,electronic devices,cellphones
electronic device,hairdryer,yes,0.5593322515487671,high,electronic devices,hairdryers
container,calzone,no,0.11003872007131577,low,containers,calzones
electronic device,curling iron,yes,0.6074140071868896,high,electronic devices,curling irons
musical instrument,cello,yes,0.9004238843917847,high,musical instruments,cellos
condiment,router,no,0.11879457533359528,low,condiments,routers
electronic device,refrigerator,yes,0.698154866695404,high,electronic devices,refrigerators
food,thermometer,no,0.1359165608882904,low,food,thermometers
protective clothing,kneepad,yes,0.8459251523017883,high,protective clothing,kneepads
musical instrument,drum,yes,0.870577335357666,high,musical instruments,drums
animal,grape,no,0.39690929651260376,high,animals,grapes
headwear,shawl,no,0.8072525262832642,high,headwear,shawls
fruit,plum,yes,0.89168781042099,high,fruits,plums
animal,llama,yes,0.8766387701034546,high,animals,llamas
bird,rabbit,no,0.887296199798584,high,birds,rabbits
animal,chest,no,0.4488711953163147,high,animals,chests
drink,wineglass,no,0.9411118030548096,high,drinks,wineglasses
condiment,maple syrup,yes,0.7257740497589111,low,condiments,maple syrup
electronic device,crayfish,no,0.11611925065517426,low,electronic devices,crayfish
weapon,missile,yes,0.7151293158531189,high,weapons,missiles
women's clothing,dress,yes,0.8804222345352173,low,women's clothes,dresses
plant,clasp,no,0.08282593637704849,low,plants,clasps
tool,beet,no,0.09672805666923523,low,tools,beets
fastener,seahorse,no,0.11166613548994064,low,fasteners,seahorses
bird,television,no,0.0873611718416214,low,birds,televisions
mammal,cat,yes,0.9094222784042358,high,mammals,cats
medical equipment,gauze,yes,0.6336916089057922,high,medical equipment,gauzes
vegetable,parsley,yes,0.833306074142456,high,vegetables,parsley
sea animal,alligator,no,0.8606693744659424,high,sea animals,alligators
tool,blower,yes,0.7360306978225708,high,tools,blowers
sea animal,scorpion,no,0.811245858669281,high,sea animals,scorpions
animal,teddy bear,no,0.5122460126876831,high,animals,teddy bears
clothing,raincoat,yes,0.7898409962654114,high,clothing,raincoats
candy,cranberry,no,0.8525623679161072,high,candy,cranberries
seafood,meatball,no,0.8420185446739197,high,seafood,meatballs
tool,brake,no,0.8226140737533569,high,tools,brakes
jewelry,mongoose,no,0.09581808745861053,low,jewelry,mongooses
tool,ladder,yes,0.8094516396522522,high,tools,ladders
food,pastry,yes,0.8095153570175171,high,food,pastries
food,mulberry,yes,0.7832313776016235,high,food,mulberries
food,pineapple,yes,0.7469836473464966,high,food,pineapples
accessory,arugula,no,0.14444202184677124,low,accessories,arugula
furniture,toucan,no,0.11745002120733261,low,furniture,toucans
animal,penguin,yes,0.8391022086143494,high,animals,penguins
plant,train,no,0.08247911185026169,low,plants,trains
fastener,fruitcake,no,0.11227356642484665,low,fasteners,fruitcakes
container,limousine,no,0.693544864654541,high,containers,limousines
plant,grasshopper,no,0.8477981686592102,high,plants,grasshoppers
tool,stapler,no,0.7721666097640991,high,tools,staplers
dessert,shortbread,yes,0.8642765283584595,high,desserts,shortbread
musical instrument,ant,no,0.11020956188440323,low,musical instruments,ants
food,pancake,yes,0.8027475476264954,high,food,pancakes
container,tent,yes,0.47331827878952026,low,containers,tents
electronic device,dishwasher,yes,0.8047212362289429,high,electronic devices,dishwashers
home decor,guinea pig,no,0.19723714888095856,low,home decor,guinea pigs
animal,crate,no,0.11958058178424835,low,animals,crates
women's clothing,bolo tie,no,0.8999540209770203,high,women's clothes,bolo ties
food,latte,no,0.7458768486976624,high,food,lattes
sea animal,locker,no,0.10585515946149826,low,sea animals,lockers
kitchen tool,strainer,yes,0.7736848592758179,high,kitchen tools,strainers
school supply,glue,yes,0.662105143070221,high,school supplies,glue
food,gear,no,0.1327071636915207,low,food,gears
tool,whale,no,0.09999938309192657,low,tools,whales
headwear,turban,yes,0.8738987445831299,high,headwear,turbans
food,artichoke,yes,0.7465382814407349,high,food,artichokes
food,peg,no,0.41796132922172546,high,food,pegs
food,rocking horse,no,0.14121104776859283,low,food,rocking horses
insect,frog,no,0.8873820304870605,high,insects,frogs
electronic device,magnifier,no,0.6736957430839539,high,electronic devices,magnifiers
headwear,visor,no,0.8116456270217896,high,headwear,visors
musical instrument,banjo,yes,0.9151923060417175,high,musical instruments,banjoes
breakfast,defibrillator,no,0.10931616276502609,low,breakfasts,defibrillators
outerwear,turtleneck,no,0.8859089016914368,high,outerwear,turtlenecks
home decor,pillow,yes,0.5238762497901917,low,home decor,pillows
mammal,doorhandle,no,0.10218280553817749,low,mammals,doorhandles
footwear,leggings,no,0.8210204243659973,high,footwear,leggings
breakfast,maple syrup,yes,0.6983047127723694,low,breakfasts,maple syrup
animal,ram,yes,0.8744499087333679,high,animals,rams
toiletry,cardinal,no,0.13819120824337006,low,toiletries,cardinals
school supply,clipboard,no,0.733610212802887,high,school supplies,clipboards
musical instrument,catfish,no,0.10883792489767075,low,musical instruments,catfish
kitchen equipment,kettle,no,0.8356481790542603,high,kitchen equipment,kettles
water vehicle,golf cart,no,0.8461418747901917,high,water vehicles,golf carts
clothing,anklet,no,0.7323407530784607,high,clothing,anklets
mammal,sheep,yes,0.9195703864097595,high,mammals,sheeps
tool,hook,yes,0.7758458256721497,high,tools,hooks
medical equipment,ice pack,yes,0.5269366502761841,high,medical equipment,ice packs
musical instrument,tape recorder,no,0.7000594139099121,high,musical instruments,tape recorders
dessert,sundae,yes,0.8913286924362183,high,desserts,sundaes
animal,panther,yes,0.8718708753585815,high,animals,panthers
fastener,wrench,no,0.7111850380897522,high,fasteners,wrenches
animal,palm tree,no,0.45088979601860046,high,animals,palm trees
clothing,slug,no,0.16047978401184082,low,clothing,slugs
musical instrument,baton,no,0.703715980052948,high,musical instruments,batons
food,peanut,yes,0.758851170539856,high,food,peanuts
fruit,pineapple,yes,0.8654300570487976,high,fruits,pineapples
container,motorcycle,no,0.7220661044120789,high,containers,motorcycles
electronic device,cd player,yes,0.7991124987602234,high,electronic devices,cd players
vehicle,pineapple,no,0.10863111168146133,low,vehicles,pineapples
musical instrument,jukebox,no,0.8043149709701538,high,musical instruments,jukeboxes
weapon,slingshot,yes,0.6575484871864319,high,weapons,slingshots
clothing,tomato,no,0.15675847232341766,low,clothing,tomatoes
home decor,crown,no,0.5646734237670898,high,home decor,crowns
food,rose,no,0.47726213932037354,high,food,roses
home decor,christmas tree,yes,0.5726616382598877,high,home decor,christmas trees
food,breakfast,yes,0.7916712164878845,high,food,breakfasts
container,hot tub,yes,0.30926313996315,low,containers,hot tubs
food,licorice,yes,0.7059931755065918,high,food,licorice
water vehicle,jet,no,0.8524495363235474,high,water vehicles,jets
bird,cardinal,yes,0.9297813177108765,high,birds,cardinals
clothing,suit,yes,0.8577738404273987,high,clothing,suits
electronic device,mixer,yes,0.6749947667121887,high,electronic devices,mixers
container,shopping cart,yes,0.7427135705947876,high,containers,shopping carts
vehicle,pizza,no,0.10853210836648941,low,vehicles,pizzas
dessert,tiramisu,yes,0.8512309193611145,high,desserts,tiramisu
animal,camel,yes,0.8693670034408569,high,animals,camels
home decor,hourglass,yes,0.4755949378013611,low,home decor,hourglasses
jewelry,blazer,no,0.832823634147644,high,jewelry,blazers
animal,snail,yes,0.8069025874137878,high,animals,snails
electronic device,roof rack,no,0.626811146736145,high,electronic devices,roof racks
animal,bull,yes,0.8574959635734558,high,animals,bulls
garden tool,hammer,no,0.8707484602928162,high,garden tools,hammers
animal,steak,no,0.41980475187301636,high,animals,steaks
food,espresso,no,0.6915584802627563,high,food,espresso
vehicle,rollerblade,no,0.7444963455200195,high,vehicles,rollerblades
food,caterpillar,no,0.3728012442588806,high,food,caterpillars
electronic device,button,no,0.6457197070121765,high,electronic devices,buttons
vegetable,vegetable,yes,1.0,high,vegetables,vegetables
tool,scissors,yes,0.8231481909751892,high,tools,scissors
seafood,gyro,no,0.8599050045013428,high,seafood,gyros
food,octopus,yes,0.3897028863430023,high,food,octopus
electronic device,chainsaw,yes,0.6007941365242004,high,electronic devices,chainsaws
insect,calculator,no,0.10345008969306946,low,insects,calculators
headwear,football helmet,yes,0.6853441596031189,low,headwear,football helmets
furniture,coffee table,yes,0.7892210483551025,high,furniture,coffee tables
electronic device,food processor,yes,0.6673386693000793,high,electronic devices,food processors
accessory,suspenders,yes,0.7430279850959778,low,accessories,suspenders
food,potpie,yes,0.8015955090522766,high,food,potpies
musical instrument,gyro,no,0.1103721559047699,low,musical instruments,gyros
outerwear,ready meal,no,0.13463124632835388,low,outerwear,ready meals
tool,bucket,no,0.6783852577209473,high,tools,buckets
candy,berry,no,0.86346834897995,high,candy,berries
headwear,face mask,no,0.7976488471031189,high,headwear,face masks
dessert,screwdriver,no,0.09466034173965454,low,desserts,screwdrivers
bird,penguin,yes,0.8278278112411499,high,birds,penguins
electronic device,drill,yes,0.66126549243927,high,electronic devices,drills
protective clothing,raincoat,yes,0.7418206334114075,high,protective clothing,raincoats
tool,tool,yes,1.0,high,tools,tools
women's clothing,stiletto,yes,0.8068163990974426,low,women's clothes,stilettoes
food,snail,no,0.42115646600723267,high,food,snails
food,clove,yes,0.7029639482498169,high,food,cloves
breakfast,muffin,yes,0.8464829325675964,low,breakfasts,muffins
drink,coffee,yes,0.8783954977989197,high,drinks,coffee
breakfast,oatmeal,yes,0.8390908241271973,low,breakfasts,oatmeal
game,shuffleboard,yes,0.7525767087936401,low,games,shuffleboards
weapon,berry,no,0.12613464891910553,low,weapons,berries
food,pine tree,no,0.3407774865627289,high,food,pine trees
furniture,bok choy,no,0.11996284872293472,low,furniture,bok choys
tool,sorbet,no,0.09621840715408325,low,tools,sorbets
vegetable,hummus,no,0.8470446467399597,high,vegetables,hummus
dessert,wafer,no,0.8546459674835205,high,desserts,wafers
bird,peacock,yes,0.8790872693061829,high,birds,peacocks
animal,watch,no,0.12172036617994308,low,animals,watches
weapon,chainsaw,yes,0.7063186764717102,high,weapons,chainsaws
mammal,rhinoceros,yes,0.9147810339927673,high,mammals,rhinos
insect,moth,yes,0.8950249552726746,high,insects,moths
seafood,clam,yes,0.8412646055221558,high,seafood,clams
food,cinnamon,yes,0.6421964168548584,high,food,cinnamon
vehicle,rice,no,0.1095425933599472,low,vehicles,rice
weapon,lemon,no,0.12791122496128082,high,weapons,lemons
plant,corn,yes,0.6338434815406799,low,plants,corn
animal,license plate,no,0.12372158467769623,low,animals,license plates
food,sundae,yes,0.7154037952423096,high,food,sundaes
school supply,goat,no,0.11438468098640442,low,school supplies,goats
container,ballot box,yes,0.555832028388977,low,containers,ballot boxes
food,peach,yes,0.7478758692741394,high,food,peaches
tool,berry,no,0.10448627918958664,low,tools,berries
clothing,top hat,yes,0.7459368705749512,high,clothing,top hats
outerwear,overalls,yes,0.8838919997215271,high,outerwear,overalls
medical equipment,needle,no,0.6049802303314209,high,medical equipment,needles
food,bell pepper,yes,0.7997198104858398,high,food,bell peppers
food,lemon,yes,0.7796264290809631,high,food,lemons
vehicle,berry,no,0.1098056435585022,low,vehicles,berries
electronic device,generator,yes,0.6671549677848816,high,electronic devices,generators
plant,wheat,no,0.8453372120857239,high,plants,wheat
vehicle,tractor,yes,0.8525521159172058,high,vehicles,tractors
tool,knife,yes,0.7704067826271057,high,tools,knives
outerwear,glove,yes,0.6766013503074646,high,outerwear,gloves
fastener,buckle,yes,0.7443666458129883,high,fasteners,buckles
clothing,slipper,yes,0.7866641879081726,high,clothing,slippers
animal,boar,yes,0.8868545293807983,high,animals,boars
garden tool,watering can,yes,0.7118181586265564,low,garden tools,watering cans
animal,birdhouse,no,0.4336976706981659,high,animals,birdhouses
outerwear,dumpling,no,0.1345696747303009,low,outerwear,dumplings
seafood,fish,yes,0.6937848925590515,high,seafood,fish
food,basket,no,0.34852516651153564,high,food,baskets
condiment,jeans,no,0.11965274810791016,low,condiments,jeans
animal,mouse,yes,0.8903387784957886,high,animals,mice
clothing,walnut,no,0.15641239285469055,low,clothing,walnuts
auto part,seatbelt,yes,0.6498927474021912,high,auto parts,seatbelts
food,brussels sprouts,yes,0.8069434762001038,high,food,brussels sprouts
plant,chisel,no,0.08249771595001221,low,plants,chisels
plant,iceskate,no,0.08319570869207382,low,plants,iceskates
game,thumbtack,no,0.8495833873748779,high,games,thumbtacks
mammal,fox,yes,0.923321545124054,high,mammals,foxes
clothing,robe,yes,0.87395840883255,high,clothing,robes
container,pocket,yes,0.2974488437175751,low,containers,pockets
fruit,bell pepper,no,0.8978107571601868,high,fruits,bell peppers
food,champagne,no,0.6064857244491577,high,food,champagne
protective clothing,visor,yes,0.7759970426559448,high,protective clothing,visors
clothing,chocolate,no,0.16331934928894043,low,clothing,chocolates
mammal,iguana,no,0.8883481025695801,high,mammals,iguanas
furniture,filing cabinet,yes,0.7118347883224487,high,furniture,filing cabinets
fastener,clothespin,yes,0.6901022791862488,low,fasteners,clothespins
home decor,jukebox,no,0.5486973524093628,high,home decor,jukeboxes
clothing,bow,yes,0.74148029088974,high,clothing,bow
office supply,guinea pig,no,0.10426371544599533,low,office supplies,guinea pigs
vehicle,missile,no,0.6921135187149048,high,vehicles,missiles
animal,fern,no,0.541377067565918,high,animals,ferns
toy,pogo stick,yes,0.469242125749588,low,toys,pogo sticks
drink,punch,yes,0.9250391125679016,high,drinks,fruit punches
clothing,uniform,yes,0.8093079924583435,high,clothing,uniforms
tool,cable,yes,0.692362904548645,high,tools,cables
animal,mint,no,0.4366178810596466,high,animals,mint
vehicle,wagon,yes,0.8312320709228516,high,vehicles,wagons
musical instrument,jalapeno,no,0.10920197516679764,low,musical instruments,jalapenoes
animal,pony,yes,0.8857157826423645,high,animals,ponies
kitchen equipment,dragonfly,no,0.08478888124227524,low,kitchen equipment,dragonflies
animal,incubator,no,0.48520010709762573,high,animals,incubators
animal,piggy bank,no,0.5043683052062988,high,animals,piggy banks
weapon,mustard,no,0.12735168635845184,low,weapons,mustard
food,tulip,no,0.5113340020179749,high,food,tulips
vehicle,engine,no,0.7816380858421326,high,vehicles,engines
vehicle,helicopter,yes,0.8771830797195435,high,vehicles,helicopters
food,boat,no,0.14343515038490295,low,food,boats
clothing,eye patch,yes,0.7316383123397827,high,clothing,eye patches
animal,knob,no,0.11959175020456314,low,animals,knobs
food,banana,yes,0.7492529153823853,high,food,bananas
weapon,pickax,yes,0.8031959533691406,high,weapons,pickaxes
tool,engine,no,0.7245497703552246,high,tools,engines
vehicle,cruise ship,yes,0.8835707306861877,high,vehicles,cruise ships
food,birdcage,no,0.149236798286438,low,food,birdcages
insect,slug,no,0.8947176933288574,high,insects,slugs
tool,peacock,no,0.10317070782184601,low,tools,peacocks
sea animal,toad,no,0.8134654760360718,high,sea animals,toads
container,briefcase,yes,0.5262471437454224,low,containers,briefcases
food,ginger,yes,0.7620837688446045,high,food,ginger
animal,warthog,yes,0.8946328163146973,high,animals,warthogs
plant,poinsettia,yes,0.8864177465438843,high,plants,poinsettias
tool,drill,yes,0.899581789970398,high,tools,drills
animal,skunk,yes,0.8792458772659302,high,animals,skunks
vehicle,banana split,no,0.10826992243528366,low,vehicles,banana splits
auto part,hearse,no,0.7903119921684265,high,auto parts,hearses
plant,scallion,no,0.8902343511581421,high,plants,scallions
drink,wine,yes,0.95179682970047,high,drinks,wines
animal,bug,yes,0.8025902509689331,high,animals,bugs
vehicle,license plate,no,0.6975409984588623,high,vehicles,license plates
plant,copier,no,0.08279053121805191,low,plants,copiers
animal,fox,yes,0.8828212022781372,high,animals,foxes
food,pocket,no,0.13424940407276154,low,food,pockets
toy,squirt gun,yes,0.5364803075790405,low,toys,squirt guns
container,can,yes,0.35352668166160583,low,containers,cans
tool,ladle,yes,0.621345043182373,high,tools,ladles
kitchen equipment,pan,no,0.7946323156356812,high,kitchen equipment,pans
mammal,giraffe,yes,0.8947498798370361,high,mammals,giraffes
bird,bee,no,0.9271711111068726,high,birds,bees
clothing,bowler hat,yes,0.7703153491020203,high,clothing,bowler hats
container,coffee,no,0.11561474949121475,low,containers,coffee
toy,rattle,yes,0.9087003469467163,high,toys,rattles
breakfast,toast,yes,0.8656995296478271,low,breakfasts,toast
tool,axe,yes,0.8836681842803955,high,tools,axes
auto part,airbag,yes,0.7549821138381958,high,auto parts,airbags
tool,abacus,no,0.7042680978775024,high,tools,abacuses
breakfast,scooter,no,0.10969962924718857,low,breakfasts,scooters
food,candy cane,yes,0.6237607002258301,high,food,candy canes
clothing,tent,no,0.609304666519165,high,clothing,tents
kitchen tool,chipmunk,no,0.09774163365364075,low,kitchen tools,chipmunks
food,magnifying glass,no,0.14471398293972015,low,food,magnifying glasses
animal,badger,yes,0.8743278980255127,high,animals,badgers
clothing,pita,no,0.15624532103538513,low,clothing,pita
dessert,grenade,no,0.09302638471126556,low,desserts,grenades
container,raccoon,no,0.11250200122594833,low,containers,raccoons
food,chickpea,yes,0.767622172832489,high,food,chickpeas
office supply,ruler,no,0.7435746192932129,high,office supplies,rulers
footwear,stockings,yes,0.8280852437019348,high,footwear,stockings
animal,projector,no,0.12378557026386261,low,animals,projectors
food,waffle,yes,0.799815833568573,high,food,waffles
musical instrument,organ,yes,0.8390563726425171,high,musical instruments,organs
animal,calf,yes,0.8734194040298462,high,animals,calves
food,ice-cream cone,yes,0.6996234059333801,high,food,ice-cream cones
mammal,zipper,no,0.10380268096923828,low,mammals,zippers
weapon,shears,no,0.7033138275146484,high,weapons,shears
school supply,ticktacktoe,no,0.6602519750595093,high,school supplies,tick-tack-toe
food,sausage,yes,0.7275192141532898,high,food,sausages
food,candy,yes,0.7523603439331055,high,food,candy
electronic device,artichoke,no,0.12174069136381149,low,electronic devices,artichokes
kitchen equipment,crow,no,0.08505211770534515,low,kitchen equipment,crows
food,bookshelf,no,0.15454253554344177,low,food,bookshelves
women's clothing,lingerie,yes,0.9189326763153076,high,women's clothes,lingerie
toiletry,brush,no,0.67943274974823,high,toiletries,brushes
tool,crepe,no,0.10536501556634903,low,tools,crepes
food,enchilada,yes,0.8154999017715454,high,food,enchiladas
food,rabbit,yes,0.3049001395702362,low,food,rabbits
tool,sledgehammer,yes,0.9165794253349304,high,tools,sledgehammers
fastener,rubber band,yes,0.6314907073974609,low,fasteners,rubber bands
office supply,stapler,yes,0.7372382283210754,high,office supplies,staplers
clothing,stuffing,no,0.1542988121509552,low,clothing,stuffing
container,crayfish,no,0.11233430355787277,low,containers,crayfish
toy,stamp,no,0.8141261339187622,high,toys,stamps
medical equipment,hot-water bottle,no,0.637424111366272,high,medical equipment,hot-water bottles
sea animal,pelican,no,0.8184581398963928,high,sea animals,pelicans
school supply,ink,yes,0.6720848679542542,high,school supplies,ink
animal,rack,no,0.12599022686481476,low,animals,racks
vehicle,tricycle,yes,0.8593178391456604,high,vehicles,tricycles
vegetable,stir fry,no,0.8585735559463501,high,vegetables,stir fry
electronic device,scanner,yes,0.7687786221504211,high,electronic devices,scanners
livestock,bull,yes,0.9088944792747498,high,livestocks,bulls
food,kettle,no,0.3902469873428345,high,food,kettles
electronic device,cymbal,no,0.640531063079834,high,electronic devices,cymbals
toiletry,marker,no,0.6600266098976135,high,toiletries,markers
home decor,stained glass,yes,0.6567927002906799,high,home decor,stained glass
food,gumdrop,yes,0.7538399696350098,high,food,gumdrops
animal,bison,yes,0.8714444041252136,high,animals,bisons
home decor,sloth,no,0.19931448996067047,low,home decor,sloths
mammal,squirrel,yes,0.915047287940979,high,mammals,squirrels
animal,tiger,yes,0.863669753074646,high,animals,tigers
sea animal,swordfish,yes,0.8918742537498474,high,sea animals,swordfish
food,fur coat,no,0.15266555547714233,low,food,fur coats
electronic device,dryer,yes,0.7933965921401978,high,electronic devices,dryers
breakfast,cereal,yes,0.8374338746070862,low,breakfasts,cereals
furniture,sawhorse,no,0.6868102550506592,high,furniture,sawhorses
animal,weather vane,no,0.5674088597297668,high,animals,weather vanes
vehicle,potato,no,0.10901054739952087,low,vehicles,potatoes
container,helicopter,no,0.6832585334777832,high,containers,helicopters
mammal,duck,no,0.8881366848945618,high,mammals,ducks
furniture,chair,yes,0.827460765838623,high,furniture,chairs
animal,tulip,no,0.5121502876281738,high,animals,tulips
toiletry,needle,no,0.6230850219726562,high,toiletries,needles
food,recliner,no,0.14731574058532715,low,food,recliners
food,kazoo,no,0.15204975008964539,low,food,kazoos
tool,quill,yes,0.4999120235443115,high,tools,quills
food,toaster oven,no,0.35325369238853455,high,food,toaster ovens
seafood,quesadilla,no,0.8432407975196838,high,seafood,quesadillas
food,squash,yes,0.7862791419029236,high,food,squash
home decor,scarecrow,yes,0.44823360443115234,low,home decor,scarecrows
medical equipment,stethoscope,yes,0.7878147959709167,high,medical equipment,stethoscopes
home decor,birdbath,yes,0.5012680292129517,low,home decor,birdbaths
tool,fishbowl,no,0.09780477732419968,low,tools,fishbowls
seafood,eel,yes,0.5281620621681213,high,seafood,eels
clothing,zipper,no,0.6123917102813721,high,clothing,zippers
vegetable,cauliflower,yes,0.8769828677177429,high,vegetables,cauliflowers
mammal,ram,yes,0.9183738231658936,high,mammals,rams
food,pecan,yes,0.7808764576911926,high,food,pecans
toy,gyroscope,yes,0.6109427809715271,low,toys,gyroscopes
plant,basil,yes,0.9639997482299805,high,plants,basil
drink,marmalade,no,0.9371752142906189,high,drinks,marmalade
food,kiwi,yes,0.7949273586273193,high,food,kiwis
women's clothing,pajamas,no,0.898125171661377,high,women's clothes,pajamas
animal,van,no,0.12256715446710587,low,animals,vans
container,mango,no,0.11419328302145004,low,containers,mangoes
dessert,pastry,yes,0.8343414664268494,high,desserts,pastries
tool,watering can,yes,0.4573778808116913,high,tools,watering cans
medical equipment,sling,yes,0.7047287225723267,high,medical equipment,slings
fastener,staple,yes,0.6667001843452454,low,fasteners,staples
vehicle,pretzel,no,0.1075834259390831,low,vehicles,pretzels
mammal,smoke alarm,no,0.10414478182792664,low,mammals,smoke alarms
container,dumpster,yes,0.8171148896217346,high,containers,dumpsters
mammal,rabbit,yes,0.9278355240821838,high,mammals,rabbits
sea animal,whale,yes,0.904296875,high,sea animals,whales
tool,saw,yes,0.9255711436271667,high,tools,saws
food,chive,yes,0.7686647176742554,high,food,chives
animal,bush,no,0.4307654798030853,high,animals,bushes
clothing,costume,yes,0.768424391746521,high,clothing,costumes
food,cordon bleu,yes,0.7954572439193726,high,food,cordon bleu sandwiches
kitchen tool,cleaver,yes,0.7583786845207214,high,kitchen tools,cleavers
tool,trowel,yes,0.8783044815063477,high,tools,trowels
sea animal,platypus,no,0.8462568521499634,high,sea animals,platypuses
fastener,cufflink,yes,0.6809574961662292,low,fasteners,cufflinks
animal,swordfish,yes,0.8245975971221924,high,animals,swordfish
toy,dice,no,0.7254742980003357,high,toys,dices
food,teacup,no,0.5059524178504944,high,food,teacups
vehicle,chariot,yes,0.7831166982650757,high,vehicles,chariots
fastener,bow,yes,0.4857890009880066,low,fasteners,bow
electronic device,porcupine,no,0.1218065619468689,high,electronic devices,porcupines
tool,donut,no,0.1027226597070694,low,tools,donuts
clothing,barrette,no,0.707887589931488,high,clothing,barrettes
weapon,nut,no,0.1261090338230133,low,weapons,nuts
medical equipment,scallop,no,0.11934240907430649,low,medical equipment,scallops
tool,rice,no,0.10445936024188995,low,tools,rice
vehicle,carriage,yes,0.8471708297729492,high,vehicles,carriages
container,buggy,no,0.7280420660972595,high,containers,buggies
clothing,necklace,no,0.7404231429100037,high,clothing,necklaces
auto part,hubcap,yes,0.8243303298950195,high,auto parts,hubcaps
mammal,turkey,no,0.8734948039054871,high,mammals,turkeys
sea animal,jellyfish,yes,0.8434123396873474,high,sea animals,jellyfish
vehicle,car,yes,0.8508025407791138,high,vehicles,cars
auto part,motorcycle,no,0.8060775399208069,high,auto parts,motorcycles
home decor,wreath,yes,0.6078892350196838,high,home decor,wreaths
drink,whip,no,0.11787281930446625,low,drinks,whips
clothing,iceskate,no,0.7012622356414795,high,clothing,iceskates
container,nightstand,yes,0.6080164313316345,low,containers,nightstands
tool,water heater,no,0.7383584380149841,high,tools,water heaters
insect,cockroach,yes,0.9381534457206726,high,insects,cockroaches
fastener,tweezers,no,0.7298715114593506,high,fasteners,tweezers
mammal,chipmunk,yes,0.9308419227600098,high,mammals,chipmunks
garden tool,ham,no,0.1295589804649353,low,garden tools,hams
vehicle,airboat,yes,0.8604481220245361,high,vehicles,airboats
vegetable,wrap,no,0.8571573495864868,high,vegetables,wrap
dessert,rearview mirror,no,0.09323887526988983,low,desserts,rearview mirrors
clothing,coat,yes,0.8626186847686768,high,clothing,coats
food,bush,no,0.3531742990016937,high,food,bushes
clothing,face mask,no,0.6710561513900757,high,clothing,face masks
fruit,pomegranate,yes,0.8740435242652893,high,fruits,pomegranates
tool,safety pin,no,0.8766286373138428,high,tools,safety pins
auto part,celery,no,0.09510525315999985,low,auto parts,celeries
clothing,shower cap,no,0.6037431359291077,high,clothing,shower caps
vehicle,bumper,no,0.6824766993522644,high,vehicles,bumpers
protective clothing,life jacket,yes,0.5041244029998779,high,protective clothing,life jackets
fastener,orangutan,no,0.1117776557803154,low,fasteners,orangutans
dessert,gumdrop,no,0.881380021572113,high,desserts,gumdrops
musical instrument,microphone,no,0.8571032881736755,high,musical instruments,microphones
animal,pelican,yes,0.8727369904518127,high,animals,pelicans
animal,shrimp,yes,0.5766539573669434,high,animals,shrimps
food,cranberry,yes,0.7874051928520203,high,food,cranberries
tool,crowbar,yes,0.8398613929748535,high,tools,crowbars
container,basket,yes,0.5249106884002686,low,containers,baskets
food,wok,no,0.49313998222351074,high,food,woks
food,strawberry,yes,0.7765364646911621,high,food,strawberries
sea animal,screen,no,0.1042310819029808,low,sea animals,screens
jewelry,pocket watch,yes,0.6721608638763428,low,jewelry,pocket watches
dessert,birthday cake,yes,0.826117217540741,high,desserts,birthday cakes
food,dough,yes,0.7602007389068604,high,food,dough
mammal,gopher,yes,0.9060881733894348,high,mammals,gophers
jewelry,crown,yes,0.891253650188446,high,jewelry,crowns
bird,possum,no,0.8758696913719177,high,birds,possums
electronic device,slot machine,yes,0.5660089254379272,high,electronic devices,slot machines
office supply,fountain pen,yes,0.7596173286437988,high,office supplies,fountain pens
water vehicle,baklava,no,0.10051635652780533,low,water vehicles,baklavas
animal,hedgehog,yes,0.8781511783599854,high,animals,hedgehogs
tool,pickax,yes,0.8954941034317017,high,tools,pickaxes
food,spoon,no,0.41378045082092285,high,food,spoons
weapon,bomb,yes,0.7281339764595032,high,weapons,bombs
insect,spider,no,0.9323298931121826,high,insects,spiders
plant,blackberry,no,0.8469600081443787,high,plants,blackberries
clothing,pumpkin,no,0.16218605637550354,low,clothing,pumpkins
clothing,toast,no,0.15899041295051575,low,clothing,toast
footwear,flipper,yes,0.8936688303947449,high,footwear,flippers
electronic device,vending machine,yes,0.5767319202423096,high,electronic devices,vending machines
tool,bookshelf,no,0.7549343705177307,high,tools,bookshelves
vegetable,cucumber,yes,0.8599685430526733,high,vegetables,cucumbers
clothing,gauze,no,0.618008553981781,high,clothing,gauzes
container,pot,yes,0.3290455639362335,low,containers,pots
furniture,bracket,no,0.6968576908111572,high,furniture,brackets
bird,rat,no,0.8796690106391907,high,birds,rats
clothing,shirt,yes,0.8376894593238831,high,clothing,shirts
